1,388,823,247,1565,968
2,895,951,51,744,228
3,116,1464,203,73,689
4,327,895,84,657,355
5,565,564,356,895,743
7,564,569,33,565,1598
8,1553,148,740,1292,1483
9,657,1626,895,44,245
10,1087,203,562,880,1377
11,564,743,933,619,565
12,290,1446,276,888,695
13,350,743,292,588,657
14,137,1149,1579,224,1317
15,440,706,1025,1212,366
16,738,1389,880,1564,1311
17,117,895,388,751,1087
18,1084,1222,1579,1474,1020
19,689,757,147,1130,203
20,1626,919,563,95,895
21,190,386,532,1541,738
22,1624,388,744,841,895
24,1087,350,816,228,33
25,562,564,933,567,1161
26,1261,1248,1484,867,1418
27,137,1464,695,203,415
28,743,569,471,292,350
29,148,823,895,831,374
30,1215,890,120,159,167
31,307,84,895,350,1157
32,461,346,116,565,1477
33,350,569,657,743,292
34,895,1374,1157,186,657
35,78,1212,706,281,823
36,1368,1260,1139,379,230
37,895,461,1678,689,200
38,1157,350,1080,1046,825
39,231,355,895,743,1294
40,1579,1084,1589,1020,137
41,1179,316,1102,381,1446
42,476,610,346,629,290
43,1260,743,717,895,1357
44,245,51,1112,292,743
45,203,1377,388,1136,880
46,62,1157,895,740,81
47,230,33,121,346,292
48,1441,1157,743,292,63
49,1256,1257,546,110,1436
50,1419,68,123,810,826
51,44,148,565,1112,823
52,344,565,895,325,1488
53,58,508,841,717,316
54,569,33,743,657,841
55,465,562,1441,388,717
56,72,562,1491,1255,738
57,657,1157,743,33,588
58,264,895,346,307,1631
59,1226,1080,95,1157,895
60,717,1260,1602,743,1624
61,1474,1377,1564,1222,1166
62,186,292,81,33,743
63,1497,1157,292,657,805
65,1374,743,922,565,121
66,729,344,640,73,1521
68,1419,50,123,810,826
69,296,121,781,1134,464
70,344,1446,1157,740,565
71,825,118,849,990,562
72,56,562,1491,1255,738
73,564,565,346,344,374
75,1260,895,1601,563,562
77,692,743,1157,825,379
78,35,706,1112,947,657
79,657,922,565,327,1112
80,895,379,1260,1180,1152
81,1497,186,292,588,33
82,252,1497,563,588,292
83,1138,781,203,1186,1441
84,121,588,743,33,1157
85,781,669,949,728,265
87,350,937,823,51,815
89,2,951,931,245,895
90,736,981,562,1564,695
91,423,500,304,473,292
93,222,563,919,1273,713
94,756,192,287,1303,754
95,743,264,292,33,121
96,229,203,689,1166,839
97,588,743,292,631,121
98,350,33,366,186,327
99,743,63,574,264,895
100,1579,1084,1003,878,1444
101,564,743,388,465,95
102,878,1444,1003,946,1600
103,2,823,1541,1089,1087
104,1526,641,1530,1609,673
105,1260,610,631,379,332
106,717,657,583,508,640
107,743,895,121,564,565
108,781,203,1463,388,849
109,1243,895,117,919,668
110,44,895,489,872,51
111,297,303,1356,287,895
112,743,292,588,681,264
114,717,565,657,5,1441
116,73,1431,565,564,706
117,344,73,564,827,751
118,1136,564,569,304,500
119,507,339,1378,1550,964
120,1260,212,922,657,743
121,588,743,350,681,292
122,1624,640,350,895,327
123,1419,68,50,810,826
125,918,1260,592,1157,1507
126,588,350,121,112,1212
129,1340,696,922,147,245
130,572,1554,607,1530,1411
131,1435,1554,572,1530,704
132,42,1350,563,895,163
135,229,1247,1530,1084,719
136,522,502,1674,673,705
137,1232,1020,1579,884,1377
138,388,588,895,556,423
140,35,922,518,1024,281
141,706,679,565,816,895
142,1166,1579,174,1517,1554
143,919,895,1377,564,1080
144,1624,1260,1180,84,933
145,231,841,1598,564,264
146,822,547,164,1579,852
147,689,657,895,831,1112
148,51,937,350,740,33
149,1441,773,1629,895,203
150,344,147,148,1000,217
151,895,344,610,1507,751
152,502,522,1530,878,1444
153,290,1446,934,476,42
154,689,1517,229,589,186
155,337,118,159,1157,743
156,366,895,346,116,73
158,143,103,1216,73,1212
159,33,569,1598,657,350
160,1423,1013,350,1374,121
161,186,640,564,565,1157
162,796,582,229,743,565
163,197,652,132,610,42
164,665,186,529,1157,1497
165,1222,1084,1530,1551,1020
166,1526,224,652,1560,1554
167,565,212,264,1629,895
168,652,719,705,1260,197
169,408,1389,880,738,1540
170,564,388,1243,895,230
171,562,895,1075,1273,1157
173,515,350,449,689,1517
174,1526,666,229,1530,1166
175,1554,666,1166,582,1530
178,589,505,579,522,1579
179,743,588,631,409,1602
181,829,562,203,547,171
184,344,379,744,751,1211
186,81,292,350,588,1497
188,200,42,610,346,1157
190,1166,689,21,116,229
191,565,706,758,304,500
192,229,1269,504,1517,652
193,1157,292,186,1136,33
195,740,33,327,1548,982
196,164,1517,1149,589,174
197,652,514,1269,1149,504
198,328,895,223,1324,564
199,522,712,464,164,1018
200,186,1157,657,82,895
201,692,895,583,532,379
202,713,738,835,1615,1439
203,562,743,1136,33,588
204,344,203,1063,379,552
205,1374,200,346,276,325
206,388,379,565,33,315
208,689,968,1411,530,136
209,1464,238,461,164,483
210,1000,532,548,564,1326
211,262,945,1100,164,197
212,895,657,565,922,264
213,1567,203,1138,1118,1458
214,33,564,350,327,387
215,120,1260,1139,388,895
216,1102,306,1262,344,298
217,344,565,564,823,1541
218,895,350,564,706,565
219,951,564,815,895,1087
221,588,743,121,657,565
222,681,919,95,755,1157
223,1528,186,121,350,81
224,1530,601,1317,515,1190
226,33,562,564,350,1581
227,350,895,33,565,564
228,895,1541,565,350,679
229,264,681,550,743,1517
230,292,121,895,564,565
231,743,264,355,307,356
232,1268,218,346,768,339
233,825,674,121,292,303
234,452,192,1678,229,132
235,527,75,374,1157,518
236,610,381,625,346,42
237,245,922,740,327,159
238,1678,461,320,743,1335
239,81,1528,63,82,1324
240,564,388,95,1157,51
241,679,744,815,344,1541
242,357,137,1221,927,190
244,316,895,717,283,120
245,44,831,1112,565,57
246,268,937,532,1509,51
247,73,1438,388,323,250
248,328,1507,751,1260,1530
249,1411,946,530,666,1464
250,895,230,273,355,346
251,588,743,1157,1629,309
252,82,292,565,588,112
253,1261,1248,1484,867,1418
254,450,895,951,564,388
255,815,918,744,532,1436
256,1303,1477,1625,1517,229
257,563,264,681,121,1663
258,350,33,743,895,1260
259,1483,1302,1152,937,740
260,257,743,919,678,681
261,1205,186,562,1157,118
262,514,197,522,1318,447
264,743,565,681,346,325
265,350,1598,186,1157,33
266,680,895,1273,743,816
267,758,1212,922,230,450
268,246,937,532,1509,51
269,1579,522,589,1084,1166
270,458,1136,823,388,674
271,841,95,895,564,265
272,937,679,527,1262,815
273,264,346,355,565,895
274,33,895,743,350,588
275,1188,1441,223,65,159
276,1157,1374,264,743,657
277,738,880,1292,730,713
278,582,1554,1530,666,1039
279,230,346,110,51,895
281,758,1212,379,350,564
282,1324,167,328,931,895
283,717,895,1046,212,508
